ds,trend,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,y,yhat,yhat_lower,yhat_upper,sigma
2023-07-10,3812.4791174148286,3812.4791174148286,3812.4791174148286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326229959951307,5.326229959951307,5.326229959951307,0.0,0.0,0.0,5.326229959951307,5.326229959951307,5.326229959951307,0.0,0.0,0.0,4007.9999999999995,4102.804578930682,3612.9499080263517,4592.659249835011,283.15298896204035
2023-07-11,3841.9282696865375,3841.9282696865375,3841.9282696865375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571561849066008,7.571561849066008,7.571561849066008,0.0,0.0,0.0,7.571561849066008,7.571561849066008,7.571561849066008,0.0,0.0,0.0,3960.0000000000005,3508.3875478892555,3070.2261133614825,3946.5489824170286,253.27250550738333
2023-07-12,3871.490723450442,3871.490723450442,3871.490723450442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05006548757469,23.05006548757469,23.05006548757469,0.0,0.0,0.0,23.05006548757469,23.05006548757469,23.05006548757469,0.0,0.0,0.0,3721.9999999999995,3297.0858041564998,2868.369449923002,3725.8021583899977,247.81292152225316
2023-07-13,3794.5428009287457,3794.5428009287457,3794.5428009287457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.048250795630555,18.048250795630555,18.048250795630555,0.0,0.0,0.0,18.048250795630555,18.048250795630555,18.048250795630555,0.0,0.0,0.0,3319.0000000000005,3289.198808274337,2866.1568351820065,3712.2407813666673,244.53293242331247
2023-07-14,3718.3672637490067,3718.3672637490067,3718.3672637490067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725309011054103,13.725309011054103,13.725309011054103,0.0,0.0,0.0,13.725309011054103,13.725309011054103,13.725309011054103,0.0,0.0,0.0,3107.999999999999,3280.270750748141,2855.1266490897533,3705.4148524065286,245.7480356406865
2023-07-15,3642.9641119112252,3642.9641119112252,3642.9641119112252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874420146425755,6.874420146425755,6.874420146425755,0.0,0.0,0.0,6.874420146425755,6.874420146425755,6.874420146425755,0.0,0.0,0.0,3410.0,3966.3398172596453,3510.7222579503573,4421.957376568934,263.3627510458313
2023-07-16,3568.3333454154013,3568.3333454154013,3568.3333454154013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.85205126800092,111.85205126800092,111.85205126800092,0.0,0.0,0.0,111.85205126800092,111.85205126800092,111.85205126800092,0.0,0.0,0.0,4810.999999999999,4943.71284678921,4411.929545507333,5475.496148071086,307.3891914924144
2023-07-17,3656.458593319586,3656.458593319586,3656.458593319586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326229959920546,5.326229959920546,5.326229959920546,0.0,0.0,0.0,5.326229959920546,5.326229959920546,5.326229959920546,0.0,0.0,0.0,3864.0000000000005,3940.891536254653,3469.4718571394114,4412.311215369895,272.4969243440703
2023-07-18,3745.6587992665386,3745.6587992665386,3745.6587992665386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5715618490864935,7.5715618490864935,7.5715618490864935,0.0,0.0,0.0,7.5715618490864935,7.5715618490864935,7.5715618490864935,0.0,0.0,0.0,3799.0000000000005,3416.4189167481773,2961.0958461853925,3871.741987310962,263.19252633686995
2023-07-19,3835.933963256261,3835.933963256261,3835.933963256261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.050065487592608,23.050065487592608,23.050065487592608,0.0,0.0,0.0,23.050065487592608,23.050065487592608,23.050065487592608,0.0,0.0,0.0,3626.0000000000005,3264.2789621465113,2843.626323156557,3684.9316011364654,243.15181444506027
